,time,demand,년,월,일,시간,요일,기온(°C),풍속(m/s),하차
0,2020-01-01 00:00:00,1,2020,1,1,0,2,-0.1,1.1,0
1,2020-01-01 01:00:00,3,2020,1,1,1,2,-5.9,1.7,0
2,2020-01-01 02:00:00,1,2020,1,1,2,2,-5.7,0.1,0
3,2020-01-01 03:00:00,1,2020,1,1,3,2,-5.6,0.0,0
4,2020-01-01 04:00:00,2,2020,1,1,4,2,-5.4,0.0,0
5,2020-01-01 05:00:00,0,2020,1,1,5,2,-5.2,0.0,235
6,2020-01-01 06:00:00,0,2020,1,1,6,2,-4.8,1.9,952
7,2020-01-01 07:00:00,4,2020,1,1,7,2,-4.6,2.1,828
8,2020-01-01 08:00:00,1,2020,1,1,8,2,-4.6,1.8,1043
9,2020-01-01 09:00:00,1,2020,1,1,9,2,-4.3,2.3,1694
10,2020-01-01 10:00:00,1,2020,1,1,10,2,-4.2,1.9,1655
11,2020-01-01 11:00:00,0,2020,1,1,11,2,-3.4,1.5,2047
12,2020-01-01 12:00:00,0,2020,1,1,12,2,-2.2,1.7,2484
13,2020-01-01 13:00:00,4,2020,1,1,13,2,-1.0,1.6,2248
14,2020-01-01 14:00:00,3,2020,1,1,14,2,-0.4,1.2,2308
15,2020-01-01 15:00:00,2,2020,1,1,15,2,0.3,0.0,2286
16,2020-01-01 16:00:00,0,2020,1,1,16,2,0.3,0.0,2354
17,2020-01-01 17:00:00,1,2020,1,1,17,2,0.2,0.9,2261
18,2020-01-01 18:00:00,1,2020,1,1,18,2,0.1,0.8,1922
19,2020-01-01 19:00:00,1,2020,1,1,19,2,0.1,0.3,1696
20,2020-01-01 20:00:00,3,2020,1,1,20,2,0.0,1.7,1620
21,2020-01-01 21:00:00,0,2020,1,1,21,2,-0.4,2.5,1181
22,2020-01-01 22:00:00,1,2020,1,1,22,2,-0.9,1.5,768
23,2020-01-01 23:00:00,1,2020,1,1,23,2,-0.9,1.0,426
24,2020-01-02 00:00:00,0,2020,1,2,0,3,-0.7,2.1,0
25,2020-01-02 01:00:00,0,2020,1,2,1,3,-0.7,2.2,0
26,2020-01-02 02:00:00,0,2020,1,2,2,3,-0.6,2.2,0
27,2020-01-02 03:00:00,0,2020,1,2,3,3,-0.6,2.3,0
28,2020-01-02 04:00:00,0,2020,1,2,4,3,-0.7,2.1,0
29,2020-01-02 05:00:00,1,2020,1,2,5,3,-0.5,1.5,81
30,2020-01-02 06:00:00,0,2020,1,2,6,3,-0.6,1.7,223
31,2020-01-02 07:00:00,9,2020,1,2,7,3,-0.5,1.9,334
32,2020-01-02 08:00:00,14,2020,1,2,8,3,-0.4,2.3,570
33,2020-01-02 09:00:00,2,2020,1,2,9,3,-0.1,2.4,611
34,2020-01-02 10:00:00,3,2020,1,2,10,3,0.7,2.0,612
35,2020-01-02 11:00:00,5,2020,1,2,11,3,1.7,2.0,822
36,2020-01-02 12:00:00,4,2020,1,2,12,3,2.5,1.0,948
37,2020-01-02 13:00:00,1,2020,1,2,13,3,3.4,1.8,917
38,2020-01-02 14:00:00,1,2020,1,2,14,3,3.7,2.3,1021
39,2020-01-02 15:00:00,0,2020,1,2,15,3,3.8,2.8,885
40,2020-01-02 16:00:00,7,2020,1,2,16,3,3.7,2.5,783
41,2020-01-02 17:00:00,6,2020,1,2,17,3,3.3,3.1,849
42,2020-01-02 18:00:00,8,2020,1,2,18,3,2.7,2.2,602
43,2020-01-02 19:00:00,3,2020,1,2,19,3,2.0,2.0,435
44,2020-01-02 20:00:00,4,2020,1,2,20,3,1.2,0.7,293
45,2020-01-02 21:00:00,2,2020,1,2,21,3,0.5,0.9,273
46,2020-01-02 22:00:00,2,2020,1,2,22,3,0.3,0.4,174
47,2020-01-02 23:00:00,2,2020,1,2,23,3,-0.4,1.5,149
48,2020-01-03 00:00:00,2,2020,1,3,0,4,0.0,2.6,0
