,code,name,YN
2,0100,청운동,존재
3,0200,신교동,존재
4,0300,궁정동,존재
5,0400,효자동,존재
6,0500,창성동,존재
7,0600,통의동,존재
8,0700,적선동,존재
9,0800,통인동,존재
10,0900,누상동,존재
11,1000,누하동,존재
12,1100,옥인동,존재
13,1200,체부동,존재
14,1300,필운동,존재
15,1400,내자동,존재
16,1500,사직동,존재
17,1600,도렴동,존재
18,1700,당주동,존재
19,1800,내수동,존재
20,1900,세종로,존재
21,2000,신문로1가,존재
22,2100,신문로2가,존재
23,2200,청진동,존재
24,2300,서린동,존재
25,2400,수송동,존재
26,2500,중학동,존재
27,2600,종로1가,존재
28,2700,공평동,존재
29,2800,관훈동,존재
30,2900,견지동,존재
31,3000,와룡동,존재
32,3100,권농동,존재
33,3200,운니동,존재
34,3300,익선동,존재
35,3400,경운동,존재
36,3500,관철동,존재
37,3600,인사동,존재
38,3700,낙원동,존재
39,3800,종로2가,존재
40,3900,팔판동,존재
41,4000,삼청동,존재
42,4100,안국동,존재
43,4200,소격동,존재
44,4300,화동,존재
45,4400,사간동,존재
46,4500,송현동,존재
47,4600,가회동,존재
48,4700,재동,존재
49,4800,계동,존재
50,4900,원서동,존재
51,5000,훈정동,존재
52,5100,묘동,존재
53,5200,봉익동,존재
54,5300,돈의동,존재
55,5400,장사동,존재
56,5500,관수동,존재
57,5600,종로3가,존재
58,5700,인의동,존재
59,5800,예지동,존재
60,5900,원남동,존재
61,6000,연지동,존재
62,6100,종로4가,존재
63,6200,효제동,존재
64,6300,종로5가,존재
65,6400,종로6가,존재
66,6500,이화동,존재
67,6600,연건동,존재
68,6700,충신동,존재
69,6800,동숭동,존재
70,6900,혜화동,존재
71,7000,명륜1가,존재
72,7100,명륜2가,존재
73,7200,명륜4가,존재
74,7300,명륜3가,존재
75,7400,창신동,존재
76,7500,숭인동,존재
77,7600,교남동,존재
78,7700,평동,존재
79,7800,송월동,존재
80,7900,홍파동,존재
81,8000,교북동,존재
82,8100,행촌동,존재
83,8200,구기동,존재
84,8300,평창동,존재
85,8400,부암동,존재
86,8500,홍지동,존재
87,8600,신영동,존재
88,8700,무악동,존재
89,0100,창신1동,폐지
90,0200,창신2동,폐지
91,0300,창신3동,폐지
92,0400,숭인1동,폐지
93,0500,숭인2동,폐지
95,0100,동자동,폐지
96,0200,도동1가,폐지
97,0300,도동2가,폐지
98,0400,양동,폐지
99,0100,무교동,존재
100,0200,다동,존재
101,0300,태평로1가,존재
102,0400,을지로1가,존재
103,0500,을지로2가,존재
104,0600,남대문로1가,존재
105,0700,삼각동,존재
106,0800,수하동,존재
107,0900,장교동,존재
108,1000,수표동,존재
109,1100,소공동,존재
110,1200,남창동,존재
111,1300,북창동,존재
112,1400,태평로2가,존재
113,1500,남대문로2가,존재
114,1600,남대문로3가,존재
115,1700,남대문로4가,존재
116,1800,남대문로5가,존재
117,1900,봉래동1가,존재
118,2000,봉래동2가,존재
119,2100,회현동1가,존재
120,2200,회현동2가,존재
121,2300,회현동3가,존재
122,2400,충무로1가,존재
123,2500,충무로2가,존재
124,2600,명동1가,존재
125,2700,명동2가,존재
126,2800,남산동1가,존재
127,2900,남산동2가,존재
128,3000,남산동3가,존재
129,3100,저동1가,존재
130,3200,충무로4가,존재
131,3300,충무로5가,존재
132,3400,인현동2가,존재
133,3500,예관동,존재
134,3600,묵정동,존재
135,3700,필동1가,존재
136,3800,필동2가,존재
137,3900,필동3가,존재
138,4000,남학동,존재
139,4100,주자동,존재
140,4200,예장동,존재
141,4300,장충동1가,존재
142,4400,장충동2가,존재
143,4500,광희동1가,존재
144,4600,광희동2가,존재
145,4700,쌍림동,존재
146,4800,을지로6가,존재
147,4900,을지로7가,존재
148,5000,을지로4가,존재
149,5100,을지로5가,존재
150,5200,주교동,존재
151,5300,방산동,존재
152,5400,오장동,존재
153,5500,을지로3가,존재
154,5600,입정동,존재
155,5700,산림동,존재
156,5800,충무로3가,존재
157,5900,초동,존재
158,6000,인현동1가,존재
159,6100,저동2가,존재
160,6200,신당동,존재
161,6300,흥인동,존재
162,6400,무학동,존재
163,6500,황학동,존재
164,6600,서소문동,존재
165,6700,정동,존재
166,6800,순화동,존재
167,6900,의주로1가,존재
168,7000,충정로1가,존재
169,7100,중림동,존재
170,7200,의주로2가,존재
171,7300,만리동1가,존재
172,7400,만리동2가,존재
173,0100,신당1동,폐지
174,0200,신당2동,폐지
175,0300,신당3동,폐지
176,0400,신당4동,폐지
177,0500,신당5동,폐지
178,0600,신당6동,폐지
180,0100,옥수동,폐지
181,0200,도동1가,폐지
182,0300,도동2가,폐지
183,0400,만리동1가,폐지
184,0500,만리동2가,폐지
185,0100,후암동,존재
186,0200,용산동2가,존재
187,0300,용산동4가,존재
188,0400,갈월동,존재
189,0500,남영동,존재
190,0600,용산동1가,존재
191,0700,동자동,존재
192,0800,서계동,존재
193,0900,청파동1가,존재
194,1000,청파동2가,존재
195,1100,청파동3가,존재
196,1200,원효로1가,존재
197,1300,원효로2가,존재
198,1400,신창동,존재
199,1500,산천동,존재
200,1600,청암동,존재
201,1700,원효로3가,존재
202,1800,원효로4가,존재
203,1900,효창동,존재
204,2000,도원동,존재
205,2100,용문동,존재
206,2200,문배동,존재
207,2300,신계동,존재
208,2400,한강로1가,존재
209,2500,한강로2가,존재
210,2600,용산동3가,존재
211,2700,용산동5가,존재
212,2800,한강로3가,존재
213,2900,이촌동,존재
214,3000,이태원동,존재
215,3100,한남동,존재
216,3200,동빙고동,존재
217,3300,서빙고동,존재
218,3400,주성동,존재
219,3500,용산동6가,존재
220,3600,보광동,존재
221,0100,청파1동,폐지
222,0200,청파2동,폐지
223,0300,이촌1동,폐지
224,0400,이촌2동,폐지
225,0500,이태원1동,폐지
226,0600,이태원2동,폐지
227,0700,한남1동,폐지
228,0800,한남2동,폐지
230,0100,상일동,폐지
231,0200,길동,폐지
232,0300,둔촌동,폐지
233,0400,암사동,폐지
234,0500,성내동,폐지
235,0600,풍납동,폐지
236,0700,천호동,폐지
237,0800,송파동,폐지
238,0900,석촌동,폐지
239,1000,삼전동,폐지
240,1100,가락동,폐지
241,1200,이동,폐지
242,1300,오금동,폐지
243,1400,방이동,폐지
244,1500,문정동,폐지
245,1600,장지동,폐지
246,1700,거여동,폐지
247,1800,마천동,폐지
248,1900,잠실동,폐지
249,2000,신천동,폐지
250,2100,일원동,폐지
251,2200,수서동,폐지
252,2300,자곡동,폐지
253,2400,율현동,폐지
254,2500,세곡동,폐지
255,2600,역삼동,폐지
256,2700,포이동,폐지
257,2800,개포동,폐지
258,2900,도곡동,폐지
259,3000,논현동,폐지
260,3100,신사동,폐지
261,3200,학동,폐지
262,3300,압구정동,폐지
263,3400,청담동,폐지
264,3500,삼성동,폐지
265,3600,대치동,폐지
266,3700,염곡동,폐지
267,3800,내곡동,폐지
268,3900,신원동,폐지
269,4000,반포동,폐지
270,4100,잠원동,폐지
271,4200,서초동,폐지
272,4300,양재동,폐지
273,4400,우면동,폐지
274,4500,원지동,폐지
275,4600,황학동,폐지
276,4700,무학동,폐지
277,4800,흥인동,폐지
278,4900,신당동,폐지
279,5000,용두동,폐지
280,5100,답십리동,폐지
281,5200,면목동,폐지
282,5300,금호동,폐지
283,5400,명일동,폐지
284,5500,하일동,폐지
285,5600,고덕동,폐지
286,0100,상왕십리동,존재
287,0200,하왕십리동,존재
288,0300,홍익동,존재
289,0400,도선동,존재
290,0500,마장동,존재
291,0600,사근동,존재
292,0700,행당동,존재
293,0800,응봉동,존재
294,0900,금호동1가,존재
295,1000,금호동2가,존재
296,1100,금호동3가,존재
297,1200,금호동4가,존재
298,1300,옥수동,존재
299,1400,성수동1가,존재
300,1500,성수동2가,존재
301,1600,화양동,폐지
302,1700,모진동,폐지
303,1800,송정동,존재
304,1900,군자동,폐지
305,2000,중곡동,폐지
306,2100,능동,폐지
307,2200,용답동,존재
308,2300,광장동,폐지
309,2400,구의동,폐지
310,2500,자양동,폐지
311,0100,왕십리1동,폐지
312,0200,왕십리2동,폐지
313,0300,행당1동,폐지
314,0400,행당2동,폐지
315,0500,중곡1동,폐지
316,0600,중곡2동,폐지
317,0700,중곡3동,폐지
318,0800,중곡4동,폐지
319,0900,옥수1동,폐지
320,1000,옥수2동,폐지
321,1100,성수1가1동,폐지
322,1200,성수1가2동,폐지
323,1300,성수2가1동,폐지
324,1400,성수2가2동,폐지
325,1500,성수2가3동,폐지
326,1600,성수2가4동,폐지
327,1700,자양1동,폐지
328,1800,자양2동,폐지
329,1900,자양3동,폐지
330,2000,구의1동,폐지
331,2100,구의2동,폐지
333,0100,중곡동,존재
334,0200,능동,존재
335,0300,구의동,존재
336,0400,광장동,존재
337,0500,자양동,존재
338,0600,노유동,폐지
339,0700,화양동,존재
340,0800,모진동,폐지
341,0900,군자동,존재
343,0100,면목동,폐지
344,0200,상봉동,폐지
345,0300,중화동,폐지
346,0400,묵동,폐지
347,0500,망우동,폐지
348,0600,신내동,폐지
349,0700,중곡동,폐지
350,0800,능동,폐지
351,0900,군자동,폐지
352,1000,종암동,폐지
353,1100,안암동4가,폐지
354,1200,안암동5가,폐지
355,1300,석관동,폐지
356,1400,보문동1가,폐지
357,1500,보문동2가,폐지
358,1600,보문동3가,폐지
359,1700,보문동4가,폐지
360,1800,보문동5가,폐지
361,1900,보문동6가,폐지
362,2000,보문동7가,폐지
363,2100,창신동,폐지
364,2200,숭인동,폐지
365,0100,신설동,존재
366,0200,용두동,존재
367,0300,제기동,존재
368,0400,전농동,존재
369,0500,답십리동,존재
370,0600,장안동,존재
371,0700,청량리동,존재
372,0800,회기동,존재
373,0900,휘경동,존재
374,1000,이문동,존재
375,0100,용두1동,폐지
376,0200,용두2동,폐지
377,0300,제기1동,폐지
378,0400,제기2동,폐지
379,0500,전농1동,폐지
380,0600,전농2동,폐지
381,0700,전농3동,폐지
382,0800,전농4동,폐지
383,0900,답십리1동,폐지
384,1000,답십리2동,폐지
385,1100,답십리3동,폐지
386,1200,답십리4동,폐지
387,1300,답십리5동,폐지
388,1400,장안1동,폐지
389,1500,장안2동,폐지
390,1600,장안3동,폐지
391,1700,장안4동,폐지
392,1800,청량리1동,폐지
393,1900,청량리2동,폐지
394,2000,휘경1동,폐지
395,2100,휘경2동,폐지
396,2200,이문1동,폐지
397,2300,이문2동,폐지
398,2400,이문3동,폐지
400,0100,면목동,존재
401,0200,상봉동,존재
402,0300,중화동,존재
403,0400,묵동,존재
404,0500,망우동,존재
405,0600,신내동,존재
406,0100,면목1동,폐지
407,0200,면목2동,폐지
408,0300,면목3동,폐지
409,0400,면목4동,폐지
410,0500,면목5동,폐지
411,0600,면목6동,폐지
412,0700,면목7동,폐지
413,0800,상봉1동,폐지
414,0900,상봉2동,폐지
415,1000,중화1동,폐지
416,1100,중화2동,폐지
417,1200,묵1동,폐지
418,1300,묵2동,폐지
419,1400,망우1동,폐지
420,1500,망우2동,폐지
421,1600,망우3동,폐지
423,0100,미아동,폐지
424,0200,번동,폐지
425,0300,수유동,폐지
426,0400,우이동,폐지
427,0500,창동,폐지
428,0600,월계동,폐지
429,0700,쌍문동,폐지
430,0800,공릉동,폐지
431,0900,하계동,폐지
432,1000,상계동,폐지
433,1100,중계동,폐지
434,1200,도봉동,폐지
435,1300,방학동,폐지
436,1400,성북동2가,폐지
437,1500,동소문동8가,폐지
438,0100,성북동,존재
439,0200,성북동1가,존재
440,0300,돈암동,존재
441,0400,동소문동1가,존재
442,0500,동소문동2가,존재
443,0600,동소문동3가,존재
444,0700,동소문동4가,존재
